secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,8,0,0.00304,11.5632,0,409,721.2,-2.67175536,40.55514860,0,0,46,0,-255,0,0,0,0,0,0,0,0
2,34,0,0.00712,14.7024,0,409,721.2,-2.67175268,40.55509521,0,0,46,0,-255,0,0,0,0,0,0,0,0
3,39,0,0.01201,17.604,0,431,721.2,-2.67174857,40.55503276,0,0,46,0,-255,0,0,0,0,0,0,0,0
4,57,0,0.0169,17.604,0,431,721.2,-2.67174597,40.55496881,0,0,46,0,-255,0,0,0,0,0,0,0,0
5,61,0,0.02286,21.4308,0,394,721.4,-2.67174329,40.55490024,0,3.3557,46,0,-255,0,0,0,0,0,0,0,0
6,74,0,0.02881,21.4308,0,426,721.4,-2.67174144,40.55482967,0,0,46,0,-255,0,0,0,0,0,0,0,0
7,78,0,0.03598,25.8156,0,420,721.4,-2.67174228,40.55475826,0,0,46,0,-255,0,0,0,0,0,0,0,0
8,81,0,0.04365,27.63,0,349,721.4,-2.67174379,40.55468382,0,0,46,0,-255,0,0,0,0,0,0,0,0
9,83,0,0.05166,28.8072,0,349,721.4,-2.67174605,40.55460495,0,0,46,0,-255,0,0,0,0,0,0,0,0
10,87,0,0.05987,29.574,0,354,721.4,-2.67175242,40.55453001,0,0.33557,46,0,-255,0,0,0,0,0,0,0,0
11,90,0,0.06823,30.0924,0,354,721.4,-2.67176324,40.55445307,0,0.33557,46,0,-255,0,0,0,0,0,0,0,0
12,90,0,0.07684,30.9924,0,336,721.4,-2.67177841,40.55438853,0,0.33557,46,0,-255,0,0,0,0,0,0,0,0
13,90,0,0.08545,30.9924,0,336,721.4,-2.67179551,40.55430538,0,0.33557,45,0,-255,0,0,0,0,0,0,0,0
14,91,0,0.09408,31.086,0,301,721.4,-2.67181747,40.55423154,0,0.33557,45,0,-255,0,0,0,0,0,0,0,0
15,96,0,0.10272,31.086,0,298,721.4,-2.67184270,40.55415182,0,0,45,0,-255,0,0,0,0,0,0,0,0
16,95,0,0.11141,31.2732,0,114,721.4,-2.67186952,40.55407588,0,0,45,0,-255,0,0,0,0,0,0,0,0
17,93,0,0.1205,31.8816,0,114,721.4,-2.67189508,40.55401721,0,0,45,0,-255,0,0,0,0,0,0,0,0
18,94,0,0.12898,31.3668,0,142,721.4,-2.67191738,40.55397010,0,0,45,0,-255,0,0,0,0,0,0,0,0
19,92,0,0.13769,31.3668,0,353,721.4,-2.67191554,40.55390925,0,0,45,0,-255,0,0,0,0,0,0,0,0
20,76,0,0.14429,23.76,0,353,721.4,-2.67186809,40.55385360,0,0,45,0,-255,0,0,0,0,0,0,0,0
21,67,0,0.15068,23.004,0,513,721.4,-2.67179869,40.55380808,0,0,45,0,-255,0,0,0,0,0,0,0,0
22,70,0,0.15733,23.9256,0,513,721.4,-2.67173390,40.55377145,0,0,45,0,-255,0,0,0,0,0,0,0,0
23,74,0,0.16426,24.9228,0,404,721.4,-2.67166869,40.55373139,0,0,45,0,-255,0,0,0,0,0,0,0,0
24,86,0,0.17117,24.9228,0,404,721.4,-2.67161664,40.55370281,0,0,45,0,-255,0,0,0,0,0,0,0,0
25,86,0,0.17804,24.7248,0,404,721.8,-2.67157138,40.55366358,0,0.582242,45,0,-255,0,0,0,0,0,0,0,0
26,102,0,0.18491,24.7248,0,513,722.2,-2.67152628,40.55362117,0,1.16448,45,0,-255,0,0,0,0,0,0,0,0
27,102,0,0.19097,21.8088,0,513,722.6,-2.67148580,40.55357138,0,1.82455,45,0,-255,0,0,0,0,0,0,0,0
28,85,0,0.19703,21.8088,0,573,723,-2.67145168,40.55352645,0,2.48462,45,0,-255,0,0,0,0,0,0,0,0
29,86,0,0.20306,21.7332,0,573,723.4,-2.67142109,40.55347147,0,3.14797,45,0,-255,0,0,0,0,0,0,0,0
30,85,0,0.2092,22.086,0,593,724,-2.67139527,40.55341732,0,4.12516,45,0,-255,0,0,0,0,0,0,0,0
31,84,0,0.21553,21.564,0,624,724,-2.67137071,40.55336267,0,4.12516,45,0,-255,0,0,0,0,0,0,0,0
32,83,0,0.22115,21.4776,0,532,725,-2.67135915,40.55332369,0,5.90452,45,0,-255,0,0,0,0,0,0,0,0
33,83,0,0.22705,21.2112,0,532,725.6,-2.67133408,40.55327357,0,6.92147,45,0,-255,0,0,0,0,0,0,0,0
34,81,0,0.23281,20.7576,0,585,726,-2.67131321,40.55322613,0,7.61592,45,0,-255,0,0,0,0,0,0,0,0
35,79,0,0.23858,20.7576,0,585,726.6,-2.67130793,40.55317793,0,8.07354,45,0,-255,0,0,0,0,0,0,0,0
36,77,0,0.244,19.53,0,443,727,-2.67130902,40.55312764,0,8.2293,45,0,-255,0,0,0,0,0,0,0,0
37,71,0,0.24943,19.53,0,214,727.6,-2.67131564,40.55309277,0,8.67421,45,0,-255,0,0,0,0,0,0,0,0
38,67,0,0.25447,18.1512,0,283,728.2,-2.67131481,40.55304960,0,9.20462,45,0,-255,0,0,0,0,0,0,0,0
39,62,0,0.25915,16.8588,0,317,728.8,-2.67130148,40.55300895,0,9.82332,45,0,-255,0,0,0,0,0,0,0,0
40,56,0,0.26372,16.4304,0,255,729.4,-2.67124096,40.55297802,0,10.159,45,0,-255,0,0,0,0,0,0,0,0
41,55,0,0.26874,18.0972,0,255,730,-2.67116536,40.55296444,0,11.3543,45,0,-255,0,0,0,0,0,0,0,0
42,62,0,0.27427,19.908,0,53,730,-2.67108631,40.55295807,0,9.57489,45,0,-255,0,0,0,0,0,0,0,0
